,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
0,10 Things I Hate About You,70,PG-13,97 min,31 Mar 1999,1999,"Comedy, Drama, Romance",N/A,7.3,"273,324",Internet Movie Database,7.3/10,Rotten Tomatoes,68%,Metacritic,70/100
1,The 13th Warrior,42,R,102 min,27 Aug 1999,1999,"Action, Adventure, History",N/A,6.6,"111,412",Internet Movie Database,6.6/10,Rotten Tomatoes,33%,Metacritic,42/100
2,200 Cigarettes,33,R,101 min,26 Feb 1999,1999,"Comedy, Drama, Romance",N/A,5.9,"14,102",Internet Movie Database,5.9/10,Rotten Tomatoes,29%,Metacritic,33/100
3,The 4th Floor,N/A,R,90 min,10 Aug 2000,1999,"Horror, Mystery, Thriller",N/A,5.7,"4,205",Internet Movie Database,5.7/10,null,null,null,null
4,8MM,19,R,123 min,26 Feb 1999,1999,"Mystery, Thriller",N/A,6.5,"116,700",Internet Movie Database,6.5/10,Rotten Tomatoes,22%,Metacritic,19/100
5,The Adventures of Elmo in Grouchland,59,G,73 min,01 Oct 1999,1999,"Adventure, Comedy, Family, Fantasy, Musical",N/A,5.8,"2,655",Internet Movie Database,5.8/10,Rotten Tomatoes,77%,Metacritic,59/100
6,American Beauty,86,R,122 min,01 Oct 1999,1999,Drama,N/A,8.3,"999,142",Internet Movie Database,8.3/10,Rotten Tomatoes,88%,Metacritic,86/100
7,American Movie,84,R,107 min,13 Apr 2000,1999,"Documentary, Comedy",N/A,7.9,"15,902",Internet Movie Database,7.9/10,Rotten Tomatoes,94%,Metacritic,84/100
8,American Pie,58,R,95 min,09 Jul 1999,1999,Comedy,N/A,7.0,"355,947",Internet Movie Database,7.0/10,Rotten Tomatoes,61%,Metacritic,58/100
9,Analyze This,61,R,103 min,05 Mar 1999,1999,"Comedy, Crime",N/A,6.7,"138,938",Internet Movie Database,6.7/10,Rotten Tomatoes,70%,Metacritic,61/100
10,Angel's Dance,N/A,R,99 min,25 Feb 1999,1999,"Action, Comedy, Crime",N/A,6.2,"1,228",Internet Movie Database,6.2/10,null,null,null,null
11,Animal Farm,N/A,Approved,72 min,19 Jun 1959,1954,"Animation, Drama",N/A,7.2,"13,613",Internet Movie Database,7.2/10,Rotten Tomatoes,60%,null,null
12,Anna and the King,56,PG-13,148 min,17 Dec 1999,1999,"Drama, History, Romance",N/A,6.7,"34,378",Internet Movie Database,6.7/10,Rotten Tomatoes,51%,Metacritic,56/100
13,Annie,39,PG,127 min,18 Jun 1982,1982,"Comedy, Drama, Family, Musical",N/A,6.6,"36,963",Internet Movie Database,6.6/10,Rotten Tomatoes,56%,Metacritic,39/100
14,Any Given Sunday,52,R,162 min,22 Dec 1999,1999,"Drama, Sport",N/A,6.9,"107,090",Internet Movie Database,6.9/10,Rotten Tomatoes,52%,Metacritic,52/100
15,Anywhere But Here,59,PG-13,114 min,12 Nov 1999,1999,"Comedy, Drama",N/A,6.2,"16,063",Internet Movie Database,6.2/10,Rotten Tomatoes,64%,Metacritic,59/100
16,Arlington Road,65,R,117 min,09 Jul 1999,1999,"Crime, Drama, Thriller",N/A,7.2,"77,250",Internet Movie Database,7.2/10,Rotten Tomatoes,63%,Metacritic,65/100
17,The Astronaut's Wife,37,R,109 min,27 Aug 1999,1999,"Drama, Sci-Fi, Thriller",N/A,5.3,"50,548",Internet Movie Database,5.3/10,Rotten Tomatoes,15%,Metacritic,37/100
18,At First Sight,40,PG-13,128 min,15 Jan 1999,1999,"Drama, Romance",N/A,5.9,"12,452",Internet Movie Database,5.9/10,Rotten Tomatoes,32%,Metacritic,40/100
19,Atomic Train,N/A,PG-13,122 min,16 May 1999,1999–,"Action, Drama, Thriller",null,4.7,"2,089",Internet Movie Database,4.7/10,null,null,null,null
20,Austin Powers: The Spy Who Shagged Me,59,PG-13,95 min,11 Jun 1999,1999,"Action, Adventure, Comedy, Crime",N/A,6.6,"205,811",Internet Movie Database,6.6/10,Rotten Tomatoes,51%,Metacritic,59/100
21,Baby Geniuses,6,PG,97 min,12 Mar 1999,1999,"Comedy, Crime, Family, Sci-Fi",N/A,2.6,"23,984",Internet Movie Database,2.6/10,Rotten Tomatoes,2%,Metacritic,6/100
22,The Bachelor,31,PG-13,101 min,05 Nov 1999,1999,"Comedy, Romance",N/A,5.0,"15,988",Internet Movie Database,5.0/10,Rotten Tomatoes,9%,Metacritic,31/100
23,Bats,23,PG-13,91 min,22 Oct 1999,1999,"Horror, Sci-Fi, Thriller",N/A,3.9,"9,109",Internet Movie Database,3.9/10,Rotten Tomatoes,17%,Metacritic,23/100
24,Being John Malkovich,90,R,113 min,03 Dec 1999,1999,"Comedy, Drama, Fantasy",N/A,7.7,"291,087",Internet Movie Database,7.7/10,Rotten Tomatoes,93%,Metacritic,90/100
25,Bellyfruit,N/A,Not Rated,86 min,16 Apr 1999,1999,Drama,N/A,4.7,104,Internet Movie Database,4.7/10,null,null,null,null
26,Beowulf,59,PG-13,115 min,16 Nov 2007,2007,"Animation, Action, Adventure, Fantasy","$82,200,000",6.2,"155,920",Internet Movie Database,6.2/10,Rotten Tomatoes,71%,Metacritic,59/100
27,Best Laid Plans,40,R,92 min,14 May 1999,1999,"Crime, Drama, Thriller",N/A,6.2,"6,860",Internet Movie Database,6.2/10,Rotten Tomatoes,43%,Metacritic,40/100
28,The Best Man,61,R,120 min,22 Oct 1999,1999,"Comedy, Drama, Romance",N/A,6.8,"8,545",Internet Movie Database,6.8/10,Rotten Tomatoes,72%,Metacritic,61/100
29,Beyond the Mat,73,R,102 min,17 Mar 2000,1999,"Documentary, Biography, Sport",N/A,7.6,"7,512",Internet Movie Database,7.6/10,Rotten Tomatoes,82%,Metacritic,73/100
30,Bicentennial Man,42,PG,132 min,17 Dec 1999,1999,"Comedy, Drama, Sci-Fi",N/A,6.9,"103,442",Internet Movie Database,6.9/10,Rotten Tomatoes,36%,Metacritic,42/100
31,Big Daddy,41,PG-13,93 min,25 Jun 1999,1999,"Comedy, Drama",N/A,6.4,"187,169",Internet Movie Database,6.4/10,Rotten Tomatoes,40%,Metacritic,41/100
32,The Big Kahuna,56,R,90 min,19 May 2000,1999,"Drama, Comedy",N/A,6.6,"13,319",Internet Movie Database,6.6/10,Rotten Tomatoes,73%,Metacritic,56/100
33,Black and White,N/A,R,97 min,25 Apr 2001,1999,"Action, Mystery, Thriller",N/A,5.3,981,Internet Movie Database,5.3/10,Rotten Tomatoes,25%,null,null
34,The Blair Witch Project,81,R,81 min,30 Jul 1999,1999,"Horror, Mystery",N/A,6.5,"218,690",Internet Movie Database,6.5/10,Rotten Tomatoes,87%,Metacritic,81/100
35,Blast from the Past,48,PG-13,112 min,12 Feb 1999,1999,"Comedy, Drama, Romance, Sci-Fi",N/A,6.6,"56,164",Internet Movie Database,6.6/10,Rotten Tomatoes,57%,Metacritic,48/100
36,Blue Streak,46,PG-13,93 min,17 Sep 1999,1999,"Action, Comedy, Crime, Thriller",N/A,6.3,"69,712",Internet Movie Database,6.3/10,Rotten Tomatoes,36%,Metacritic,46/100
37,The Bone Collector,45,R,118 min,05 Nov 1999,1999,"Crime, Drama, Mystery, Thriller",N/A,6.7,"143,884",Internet Movie Database,6.7/10,Rotten Tomatoes,28%,Metacritic,45/100
38,The Boondock Saints,44,R,108 min,19 Nov 1999,1999,"Action, Crime, Thriller",N/A,7.8,"218,198",Internet Movie Database,7.8/10,Rotten Tomatoes,22%,Metacritic,44/100
39,Bowfinger,71,PG-13,97 min,13 Aug 1999,1999,Comedy,N/A,6.4,"63,041",Internet Movie Database,6.4/10,Rotten Tomatoes,81%,Metacritic,71/100
40,Boys Don't Cry,86,R,118 min,31 Mar 2000,1999,"Biography, Crime, Drama, Romance",N/A,7.5,"87,946",Internet Movie Database,7.5/10,Rotten Tomatoes,88%,Metacritic,86/100
