,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
26,26,Beowulf,59.0,PG-13,115 min,16 Nov 2007,2007,"Animation, Action, Adventure, Fantasy","$82,200,000",6.2,"155,920",Internet Movie Database,6.2/10,Rotten Tomatoes,71%,Metacritic,59/100
44,44,But I'm a Cheerleader,39.0,R,85 min,11 Aug 2000,1999,"Comedy, Drama, Romance","$175,182",6.6,"23,614",Internet Movie Database,6.6/10,Rotten Tomatoes,39%,Metacritic,39/100
76,76,Flawless,57.0,PG-13,108 min,28 Mar 2008,2007,"Crime, Drama, Thriller","$1,146,525",6.8,"21,901",Internet Movie Database,6.8/10,Rotten Tomatoes,55%,Metacritic,57/100
85,85,Gloria,83.0,R,110 min,09 May 2013,2013,"Comedy, Drama, Romance","$1,587,655",6.8,"7,804",Internet Movie Database,6.8/10,Rotten Tomatoes,99%,Metacritic,83/100
116,116,Life,54.0,R,104 min,24 Mar 2017,2017,"Horror, Sci-Fi, Thriller","$30,180,466",6.6,"185,922",Internet Movie Database,6.6/10,Rotten Tomatoes,68%,Metacritic,54/100
179,179,Star Wars: Episode I - The Phantom Menace,51.0,PG,136 min,19 May 1999,1999,"Action, Adventure, Fantasy, Sci-Fi","$431,000,000",6.5,"661,698",Internet Movie Database,6.5/10,Rotten Tomatoes,53%,Metacritic,51/100
222,222,102 Dalmatians,35.0,G,100 min,22 Nov 2000,2000,"Adventure, Comedy, Family","$65,406,212",4.9,"32,329",Internet Movie Database,4.9/10,Rotten Tomatoes,31%,Metacritic,35/100
225,225,The 6th Day,49.0,PG-13,123 min,17 Nov 2000,2000,"Action, Mystery, Sci-Fi, Thriller","$33,813,823",5.9,"111,461",Internet Movie Database,5.9/10,Rotten Tomatoes,41%,Metacritic,49/100
229,229,All the Pretty Horses,55.0,PG-13,116 min,25 Dec 2000,2000,"Drama, Romance, Western","$14,713,716",5.8,"12,479",Internet Movie Database,5.8/10,Rotten Tomatoes,32%,Metacritic,55/100
230,230,Almost Famous,90.0,R,122 min,22 Sep 2000,2000,"Adventure, Comedy, Drama, Music","$31,716,715",7.9,"237,103",Internet Movie Database,7.9/10,Rotten Tomatoes,89%,Metacritic,90/100
233,233,The Art of War,30.0,R,117 min,25 Aug 2000,2000,"Action, Adventure, Crime, Thriller","$29,458,928",5.7,"27,552",Internet Movie Database,5.7/10,Rotten Tomatoes,16%,Metacritic,30/100
