Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
Beowulf,59.0,PG-13,115 min,16 Nov 2007,"Animation, Action, Adventure, Fantasy",82200000.0,6.2,"155,920",Internet Movie Database,6.2,Rotten Tomatoes,7.1,Metacritic,5.9,11,2007
But I'm a Cheerleader,39.0,R,85 min,11 Aug 2000,"Comedy, Drama, Romance",175182.0,6.6,"23,614",Internet Movie Database,6.6,Rotten Tomatoes,3.9,Metacritic,3.9,08,2000
Flawless,57.0,PG-13,108 min,28 Mar 2008,"Crime, Drama, Thriller",1146525.0,6.8,"21,901",Internet Movie Database,6.8,Rotten Tomatoes,5.5,Metacritic,5.7,03,2008
Gloria,83.0,R,110 min,09 May 2013,"Comedy, Drama, Romance",1587655.0,6.8,"7,804",Internet Movie Database,6.8,Rotten Tomatoes,9.9,Metacritic,8.3,05,2013
Life,54.0,R,104 min,24 Mar 2017,"Horror, Sci-Fi, Thriller",30180466.0,6.6,"185,922",Internet Movie Database,6.6,Rotten Tomatoes,6.8,Metacritic,5.4,03,2017
102 Dalmatians,35.0,G,100 min,22 Nov 2000,"Adventure, Comedy, Family",65406212.0,4.9,"32,329",Internet Movie Database,4.9,Rotten Tomatoes,3.1,Metacritic,3.5,11,2000
The 6th Day,49.0,PG-13,123 min,17 Nov 2000,"Action, Mystery, Sci-Fi, Thriller",33813823.0,5.9,"111,461",Internet Movie Database,5.9,Rotten Tomatoes,4.1,Metacritic,4.9,11,2000
All the Pretty Horses,55.0,PG-13,116 min,25 Dec 2000,"Drama, Romance, Western",14713716.0,5.8,"12,479",Internet Movie Database,5.8,Rotten Tomatoes,3.2,Metacritic,5.5,12,2000
Almost Famous,90.0,R,122 min,22 Sep 2000,"Adventure, Comedy, Drama, Music",31716715.0,7.9,"237,103",Internet Movie Database,7.9,Rotten Tomatoes,8.9,Metacritic,9.0,09,2000
The Art of War,30.0,R,117 min,25 Aug 2000,"Action, Adventure, Crime, Thriller",29458928.0,5.7,"27,552",Internet Movie Database,5.7,Rotten Tomatoes,1.6,Metacritic,3.0,08,2000
Bamboozled,50.0,R,135 min,20 Oct 2000,"Comedy, Drama, Music",1883628.0,6.5,"9,498",Internet Movie Database,6.5,Rotten Tomatoes,4.8,Metacritic,5.0,10,2000
Beautiful,23.0,PG-13,112 min,29 Sep 2000,"Drama, Comedy",2834122.0,5.5,"3,521",Internet Movie Database,5.5,Rotten Tomatoes,1.6,Metacritic,2.3,09,2000
Before Night Falls,85.0,R,133 min,23 Feb 2001,"Biography, Drama, Romance",2768814.0,7.2,"22,919",Internet Movie Database,7.2,Rotten Tomatoes,7.3,Metacritic,8.5,02,2001
Best in Show,78.0,PG-13,90 min,20 Oct 2000,Comedy,16574225.0,7.5,"51,513",Internet Movie Database,7.5,Rotten Tomatoes,9.4,Metacritic,7.8,10,2000
Big Momma's House,33.0,PG-13,99 min,02 Jun 2000,"Action, Comedy, Crime",492734.0,5.1,"76,719",Internet Movie Database,5.1,Rotten Tomatoes,3.0,Metacritic,3.3,06,2000
Bless the Child,17.0,R,107 min,11 Aug 2000,"Crime, Drama, Horror, Thriller",28134407.0,5.1,"13,333",Internet Movie Database,5.1,Rotten Tomatoes,0.3,Metacritic,1.7,08,2000
Bring It On,52.0,PG-13,98 min,25 Aug 2000,"Comedy, Romance, Sport",67905760.0,6.0,"81,928",Internet Movie Database,6.0,Rotten Tomatoes,6.3,Metacritic,5.2,08,2000
Charlie's Angels,52.0,PG-13,98 min,03 Nov 2000,"Action, Adventure, Comedy, Crime, Thriller",124420707.0,5.5,"164,922",Internet Movie Database,5.5,Rotten Tomatoes,6.8,Metacritic,5.2,11,2000
The Contender,59.0,R,126 min,13 Oct 2000,"Drama, Thriller",16120906.0,6.9,"22,041",Internet Movie Database,6.9,Rotten Tomatoes,7.6,Metacritic,5.9,10,2000
The Crew,37.0,PG-13,88 min,25 Aug 2000,"Crime, Comedy",12485210.0,5.6,"4,366",Internet Movie Database,5.6,Rotten Tomatoes,2.0,Metacritic,3.7,08,2000
Digimon: The Movie,20.0,PG,82 min,06 Oct 2000,"Animation, Action, Adventure, Family, Sci-Fi",9009288.0,6.1,"6,355",Internet Movie Database,6.1,Rotten Tomatoes,2.4,Metacritic,2.0,10,2000
Dinosaur,56.0,PG,82 min,19 May 2000,"Animation, Adventure, Family, Thriller",135606304.0,6.5,"48,445",Internet Movie Database,6.5,Rotten Tomatoes,6.4,Metacritic,5.6,05,2000
Dr. T & the Women,64.0,R,122 min,13 Oct 2000,"Comedy, Drama, Romance",12115208.0,4.6,"17,027",Internet Movie Database,4.6,Rotten Tomatoes,5.6,Metacritic,6.4,10,2000
"Dude, Where's My Car?",30.0,PG-13,83 min,15 Dec 2000,"Comedy, Mystery, Sci-Fi",44992961.0,5.5,"129,422",Internet Movie Database,5.5,Rotten Tomatoes,1.7,Metacritic,3.0,12,2000
Duets,40.0,R,112 min,15 Sep 2000,"Comedy, Drama, Music, Romance",4262782.0,6.1,"8,854",Internet Movie Database,6.1,Rotten Tomatoes,2.1,Metacritic,4.0,09,2000
Dungeons & Dragons,14.0,PG-13,107 min,08 Dec 2000,"Action, Adventure, Fantasy",14813627.0,3.6,"30,683",Internet Movie Database,3.6,Rotten Tomatoes,1.0,Metacritic,1.4,12,2000
