Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes
Paranormal Activity: The Marked Ones,42,R,84 min,03 Jan 2014,2014,"Horror, Mystery, Thriller","$28,605,090",5.0,"37,490"
Open Grave,33,R,102 min,03 Jan 2014,2013,"Horror, Mystery, Thriller",N/A,6.2,"25,764"
Cold Comes the Night,37,R,90 min,10 Jan 2014,2013,"Crime, Drama, Thriller",N/A,5.7,"8,323"
Dumbbells,24,N/A,92 min,10 Jan 2014,2014,Comedy,N/A,3.5,645
The Legend of Hercules,22,PG-13,99 min,10 Jan 2014,2014,"Action, Adventure, Fantasy","$14,739,982",4.2,"50,747"
Raze,41,R,92 min,16 Jan 2014,2013,"Action, Drama, Horror","$3,453",5.2,"5,407"
Back in the Day,7,R,94 min,17 Jan 2014,2014,Comedy,N/A,5.0,"1,556"
Devil's Due,34,R,89 min,17 Jan 2014,2014,"Horror, Mystery, Thriller",N/A,4.1,"15,569"
Jack Ryan: Shadow Recruit,57,PG-13,105 min,17 Jan 2014,2014,"Action, Drama, Thriller","$43,003,831",6.2,"116,036"
Jamesy Boy,29,Not Rated,109 min,03 Jan 2014,2014,"Biography, Crime, Drama, Romance",N/A,6.3,"5,123"
The Nut Job,37,PG,85 min,17 Jan 2014,2014,"Animation, Adventure, Comedy, Crime, Family",N/A,5.7,"24,891"
Ride Along,41,PG-13,99 min,17 Jan 2014,2014,"Action, Comedy, Crime","$110,374,905",6.2,"95,634"
The Black Water Vampire,N/A,Unrated,82 min,21 Jan 2014,2014,"Horror, Mystery, Thriller",N/A,4.2,777
"I, Frankenstein",30,PG-13,92 min,24 Jan 2014,2014,"Action, Fantasy, Horror, Sci-Fi, Thriller","$15,687,400",5.1,"75,392"
Labor Day,52,PG-13,111 min,31 Jan 2014,2013,"Drama, Romance","$13,362,308",6.9,"39,579"
That Awkward Moment,36,R,94 min,31 Jan 2014,2014,"Comedy, Romance","$23,264,422",6.1,"93,065"
Somewhere Slow,48,NOT RATED,96 min,02 Mar 2013,2013,"Comedy, Drama, Romance",N/A,5.4,224
